epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
29,3.3536181407315393,4.517068266868591,9762344,1.1292671068305415,0.4137076086231641,0.216587242271219,3.528508084160941,0.6720779836177826,0.11156408701624189,0.14878310050283158,0.17289631494453975,0.6709162252289909,0.8058398962020874,0.6905625930854252,0.5508009025028774,0.03393734645630632,0.11929354284490858,-0.46693224566323416
30,3.2754163841406507,4.437423552785601,9762344,1.1093559066232828,0.4114356503954955,0.21912941389850205,3.452888710158212,0.6606296300888062,0.13710434096200125,0.1429141919527735,0.1697362938097545,0.6837539417403085,0.8074703982898167,0.69574117234775,0.5489282437733242,0.03415032609232834,0.11963550533567156,-0.4932688708816256
31,3.198930052774293,4.382531540734427,9762344,1.0956329058722727,0.41005322337150574,0.21787799575499128,3.3974606905664717,0.6516310742923191,0.15621545485087804,0.1401111994470869,0.16814041989190237,0.6895523071289062,0.8106190732547215,0.7003145856516702,0.5457644718033927,0.034340660220810344,0.12012681365013123,-0.5200202507632119
32,3.154487671596663,4.326112236295428,9762344,1.081528115818011,0.40778791931058683,0.21517495651330268,3.3493824771472385,0.6446366735867092,0.17792617423193796,0.13933056273630687,0.16786762646266393,0.6904994334493365,0.8027449633393969,0.697912552527019,0.5473160062517438,0.034654460049101284,0.12073482466595513,-0.5550417878798076
33,3.120538167300678,4.2419781514576504,9762344,1.0604945189053459,0.4028275350907019,0.2171014366405351,3.2868810892105103,0.6359318111624036,0.205633282661438,0.13904008801494325,0.16769543503011977,0.6905405691691807,0.7811765841075352,0.6867190940039498,0.5556077403681619,0.03488031428839479,0.12096380016633443,-0.5833758456366402
34,3.0757301903906322,4.136888435908726,9762344,1.0342220980008798,0.3964244749929224,0.22000812898789135,3.2109021714755466,0.6254052221775055,0.23553564080170222,0.13835747646433966,0.16727804286139353,0.691983665738787,0.7525142771857125,0.6713970260960715,0.5681291776044028,0.03511446687792029,0.12161760883671897,-0.6156159681933266
35,3.0275660788729075,4.034327779497419,9762344,1.0085819491983523,0.3906578293868474,0.2255415474729879,3.1352882300104414,0.6154289415904454,0.26078220137528013,0.13721181665148055,0.16677182061331614,0.6948300514902387,0.7265284359455109,0.6582479902676174,0.5803237046514239,0.03529931418597698,0.12218256507601057,-0.6337697676249913
36,2.9869773182131,3.944243771689279,9762344,0.9860609052037554,0.386286447090762,0.23099389086876593,3.0638458217893327,0.6066875202315194,0.27725719128336224,0.13593627406018122,0.16612105071544647,0.6979869518961225,0.7089126110076904,0.6498747766017914,0.5890022005353656,0.035548913957817216,0.12246244081429072,-0.6402707802397865
37,2.94824942165897,3.8622234548841203,9762344,0.9655558203480074,0.38329508208802765,0.2265452636139734,2.991387026650565,0.5984513972486768,0.2851596985544477,0.13493759504386357,0.16545053039278304,0.7003814833504813,0.6994897467749459,0.6455546872956412,0.5938703886100224,0.036408912922654836,0.12372371341500964,-0.673230516059058
38,2.9050702161732174,3.783160924911499,9762344,0.9457902207172343,0.3809075081454856,0.22380616941622325,2.915901550224849,0.5904065242835453,0.2874206006526947,0.13437707402876445,0.16489323547908238,0.7016804218292236,0.6956758328846523,0.6436394793646676,0.5963240563869476,0.0372064257306712,0.12469079345464706,-0.690200401203973
39,2.8611654912432036,3.698662349155971,9762344,0.9246656000614167,0.3783445124115262,0.22557033545204572,2.8339838215282986,0.5821404371942792,0.289000540971756,0.1340612226298877,0.1645315204347883,0.7023749606949943,0.6928749808243343,0.6415534317493439,0.5986838042736053,0.03774237526314599,0.12515266026769364,-0.6877779641321727
40,2.8178851512216387,3.596284713063921,9762344,0.8990711609699896,0.3750518903668438,0.2231448329985142,2.7380662986210416,0.5728222940649305,0.2943547048739025,0.1335633173584938,0.1643147702727999,0.7033719761031014,0.686399200132915,0.6370787450245449,0.6029123110430581,0.03825582776750837,0.1259917521050998,-0.7080596600260053
41,2.771636663803032,3.472916841506958,9762344,0.8682292073832025,0.3707641557391201,0.22421518660017423,2.626826652458736,0.5629703487668719,0.30418729356357027,0.1326776391693524,0.1639872533934457,0.7050946184567043,0.6752152698380607,0.6299207508563995,0.6093347647360393,0.038197268066661696,0.1261782699397632,-0.721755930355617
